word,phonetic,translation,tag
女性,じょせい,女性，女人,n5
小さい,ちいさい,小的；程度低的；年轻的,n5
小さな,ちいさな,小，微小的,n5
小学校,しょうがっこう,小学,n5
小学生,しょうがくせい,小学生,n5
少し,すこし,很少，一点点,n5
少ない,すくない,少的,n5
消す,けす,关掉（电源）；熄灭；抹去,n5
笑う,わらう,笑；嘲笑,n5
上,うえ,上面；表面；前面；（程度、地位、等级等）高；（年龄）大,n5
上げる,あげる,举高；提高,n5
上手,じょうず,擅长，高明,n5
乗る,のる,乘坐；登上,n5
色,いろ,颜色；肤色；种类,n5
食べる,たべる,吃,n5
食べ物,たべもの,食物，食品,n5
食堂,しょくどう,食堂，餐厅,n5
信号,しんごう,信号；红绿灯,n5
寝る,ねる,睡觉；躺着,n5
新しい,あたらしい,新的,n5
新聞,しんぶん,报纸,n5
親,おや,父母,n5
辛い,からい,辣的；烈的,n5
人,ひと,人；某人；人品,n5
図書館,としょかん,图书馆,n5
水,みず,水,n5
水曜日,すいようび,周三,n5
晴れ,はれ,晴天,n5
晴れる,はれる,天气放晴；心情愉快,n5
生まれる,うまれる,出生；产生，创立,n5
生徒,せいと,（初中或高中的）学生,n5
西,にし,西方,n5
青,あお,蓝色；青色，绿色；绿灯,n5
青い,あおい,蓝色的；绿色的；苍白的；不成熟的,n5
静か,しずか,安静；平静；悄悄地,n5
赤,あか,红色；完全,n5
赤い,あかい,红色的,n5
切る,きる,切，割；中断，关闭,n5
切手,きって,邮票,n5
切符,きっぷ,（车、船等的）票,n5
雪,ゆき,雪,n5
先月,せんげつ,上个月,n5
先週,せんしゅう,上周,n5
先生,せんせい,对老师、医生、律师等的敬称,n5
千,せん,千,n5
川,かわ,河川，河流,n5
洗う,あらう,洗,n5
洗濯,せんたく,洗衣服,n5
船,ふね,船,n5
選ぶ,えらぶ,选择，挑选,n5
前,まえ,前面；以前,n5
全部,ぜんぶ,全部,n5
掃除,そうじ,打扫,n5
早い,はやい,早的,n5
窓,まど,窗户,n5
走る,はしる,奔跑；行驶,n5
多い,おおい,多的,n5
太い,ふとい,胖的；粗的,n5
体,からだ,身体；体格；健康,n5
待つ,まつ,等待,n5
貸す,かす,借出；提供,n5
大きい,おおきい,大的；程度高的；年长的,n5
大学,だいがく,大学,n5
大学生,だいがくせい,大学生,n5
大丈夫,だいじょうぶ,没问题，不要紧,n5
大人,おとな,成人，大人,n5
大切,たいせつ,重要，宝贵；爱护，小心,n5
大変,たいへん,麻烦，够呛；非常,n5
脱ぐ,ぬぐ,摘掉，脱掉,n5
誰,だれ,谁,n5
短い,みじかい,短的；短暂的,n5
誕生日,たんじょうび,生日,n5
男,おとこ,男性，男人,n5
男の子,おとこのこ,男孩子；年轻男性,n5
知る,しる,知道；了解,n5
地下鉄,ちかてつ,地铁,n5
地図,ちず,地图,n5
池,いけ,水池，水塘,n5
置く,おく,放，置,n5
遅い,おそい,晚的；迟缓的,n5
茶色,ちゃいろ,茶色，褐色,n5
着く,つく,到达，送达,n5
着る,きる,穿（衣服等）,n5
中,なか,内部，里面；其中,n5
中学校,ちゅうがっこう,初中,n5
中学生,ちゅうがくせい,初中生,n5
中国,ちゅうごく,中国,n5
昼,ひる,白天；中午,n5
昼ご飯,ひるごはん,午饭,n5
朝,あさ,早晨，早上,n5
朝ご飯,あさごはん,早饭,n5
町,まち,城镇；町,n5
長い,ながい,长的；长久的,n5
鳥,とり,鸟；鸡,n5
痛い,いたい,疼痛的；痛苦的,n5
低い,ひくい,矮的；（声音）小的；低的,n5
庭,にわ,庭院，院子,n5
弟,おとうと,（自己的）弟弟,n5
天気,てんき,天气；晴天,n5
店,みせ,商店，店铺,n5
電気,でんき,电；电灯,n5
電車,でんしゃ,电车,n5
電話,でんわ,电话,n5
渡す,わたす,交，给；渡过,n5
渡る,わたる,渡过，通过,n5
土曜日,どようび,周六,n5
冬,ふゆ,冬天，冬季,n5
冬休み,ふゆやすみ,寒假,n5
東,ひがし,东,n5
答え,こたえ,回复；答案,n5
答える,こたえる,回应；回答，解答,n5
頭,あたま,头；顶部；头脑,n5
働く,はたらく,工作,n5
動物,どうぶつ,动物,n5
同じ,おなじ,相同，一样,n5
道,みち,道路,n5
読む,よむ,读；看,n5
曇り,くもり,阴天；模糊不清,n5
曇る,くもる,阴天；朦胧不清，模糊,n5
南,みなみ,南方,n5
難しい,むずかしい,难的,n5
二つ,ふたつ,两个；两岁,n5
二十,にじゅう,二十,n5
二十日,はつか,二十号，二十日；二十天,n5
二人,ふたり,两个人,n5
二日,ふつか,二号，二日；两天,n5
肉,にく,肉，肉类,n5
日本,にほん,日本,n5
